Question ,Question Text,Comment
1,Please explain why you rated the organization as you did.,Everyone should be allowed to give input.  Often times many suggestions are not considered or given enough thought.  Why are we doing something a certain way?  Procedures are not followed and there should be consequences.  Raises are across the board whether you do a little or a lot of work.  Should low performers get the same raise and coming to work on time should be a given.
1,Please explain why you rated the organization as you did.,"I believe i3 has truly fostered a culture that encourages strong co-worker bonds, confidence and the drive to be successful in. They truly want you to be your best and support you or try to find new ways to support you and your professional efforts."
1,Please explain why you rated the organization as you did.,"Although I have not worked at the company for a long time, my team members have been great to work with. It has been a great learning experience and is one of the best jobs I have ever had."
1,Please explain why you rated the organization as you did.,"This has been, hands down, the best organization that I have ever worked for.  Every team member is valued for their contributions to the mission.  Senior leadership shows their appreciation constantly and consistently across the entire organization.  To be a part of this team is to be a part of an incredible extended family and I feel very lucky to have the opportunity to have a place here."
1,Please explain why you rated the organization as you did.,i3 has a very positive culture with people that all share the same goal of making our company a success.
1,Please explain why you rated the organization as you did.,"I rated this organization how I did because I have a 8 month old son and my workplace regularly makes sure I feel valued and appreciated. It's hard being a new mom and having to be out due to different things with a child and they always are so understanding and always try to accommodate me, even when it came to my maternity leave. I also know I have the resources to grow as a person and professional. Overall, I feel very grateful to be at i3."
1,Please explain why you rated the organization as you did.,"Given that I have worked at 5 other companies in my career, the leadership and management of my company is above reproach. The culture, commitment, and consistency of our company is like no other!"
1,Please explain why you rated the organization as you did.,It is a great organization. They have a great culture with a lot of fun work.
1,Please explain why you rated the organization as you did.,It is amazing
1,Please explain why you rated the organization as you did.,I will have been at i3 for 15 years this fall!  The leadership and culture at i3 is by far the best in our business!
1,Please explain why you rated the organization as you did.,i3 is the best place I've ever worked.
1,Please explain why you rated the organization as you did.,Great place to work that truly values people. i3 tries to find a way to fit the team member's passions into a role that also benefits the company.
1,Please explain why you rated the organization as you did.,"Integration Innovation, Inc is a great place to work because everyone cares about the success of each individual employee which makes the company as a whole a success."
1,Please explain why you rated the organization as you did.,I really enjoy working here and it seems like a very healthy work environment. There are lots of things that get scheduled that help boost morale such as seasonal parties or company lunches. I really enjoy and look forward to working here for quite some time
1,Please explain why you rated the organization as you did.,It feels more like Family and Friends working together to build a better workplace.
1,Please explain why you rated the organization as you did.,i3 is the best place I have ever worked. A day has not gone by that I dread going to work. I have been at i3 for 6 years and I cant imagine working anywhere else.
1,Please explain why you rated the organization as you did.,i3 is an awesome place to work. They have treated me and my family very well since I started 3 years ago. My supervisors care about my personal happiness as well as my professional happiness. They are fair to all employees and I trust them fully.
1,Please explain why you rated the organization as you did.,i3 values its people as much as its customers.
1,Please explain why you rated the organization as you did.,This company recognizes the value of their employees and doesn't take advantage of it. They know what it takes to be successfully in each field and promotes growth.
1,Please explain why you rated the organization as you did.,"I am not a number here, like many other companies I have been with. You are a human being and treated as such. Not just a number on a page."
1,Please explain why you rated the organization as you did.,i3 is a company where you here the grass is not always greener on the other side. Just like all places are an employee I have bad days but I am reminded that i3 does value me and that i3's culture is upheld to the highest place for us and that we are not just a number. Senior Leads know my name. Doors are always open to discuss anything that needs to be discussed.
1,Please explain why you rated the organization as you did.,"i3 has treated me well. They hired me after I graduated, immediately after my 3 month old daughter passed away. Before they even met me in person, they had their charity group reach out to me and support my family through the grieving and funeral process. Then they extended my start date to give me time to be home with my wife. I couldn't imagine any other company doing that for someone who is essentially a stranger. They left an impact on me that will last a lifetime, and God is present here."
1,Please explain why you rated the organization as you did.,Previous management did a great job with communicating with employees and doing what they could to help employees feel valued. The current management treats their employees as a tool to pump products out and becomes hostile towards employees after bringing concerns to management.
1,Please explain why you rated the organization as you did.,"i3 is a great company that has plenty of opportunity for growth and change. They care about your personal life and support the family first idea. I have been with them for 5 years and can't think of a single negative thing to say about the company, leadership or my coworkers."
1,Please explain why you rated the organization as you did.,"Honestly, i3 has the best culture I have ever seen. I speak highly of it and recommend it to literally everyone I know, even when they aren't looking for a place to work."
1,Please explain why you rated the organization as you did.,"I love the culture.  I believe in what I am doing, I am continuing to learn and develop, and I feel included and that my opinions matter."
1,Please explain why you rated the organization as you did.,"i3 is a place where the company culture is embraced, and the culture truly cares about the people that make up the company."
1,Please explain why you rated the organization as you did.,"Our team is dedicated to our respective missions and our company is dedicated to supporting us in every way to develop our skills, balance our responsibilities and meet the mission goals."
1,Please explain why you rated the organization as you did.,"It's got some problems with upper management. Overall, it's a wonderful place, but upper management has been making confusing and annoying decisions that have been frustrating not only me, but a majority of my coworkers as well. Everyone except for them have been outstanding people."
1,Please explain why you rated the organization as you did.,Best benefits ever received and best place I've ever worked. Managers really care about employees and it shows through various employee engagements. By far best culture ever experienced.
1,Please explain why you rated the organization as you did.,"This is a great place for personal growth, but as you grow there are always fewer opportunities where you need to wait your turn sometimes or find other ways to influence and continue growing. In a fast growing organization, experience takes a minute to catch up to the size and magnitude of the job sometimes."
1,Please explain why you rated the organization as you did.,i3 is the best company I have ever worked for a truly cares about its team members. #i3rocks
1,Please explain why you rated the organization as you did.,Like minded people provides a comfortable work environment
1,Please explain why you rated the organization as you did.,My supervisor and coworkers are all extremely engaged and supportive.
1,Please explain why you rated the organization as you did.,This is hands down the best place I have ever worked in Huntsville.
